,Trasformer,LSTM,Ours
0,504.8008117675781,484.78564453125,519.9083251953125
1,504.8008117675781,485.50799560546875,519.763671875
2,504.8008219401042,485.975341796875,519.65576171875
3,504.8008117675781,486.22479248046875,519.6226196289062
4,504.800830078125,486.677734375,520.083984375
5,504.8008219401042,486.902587890625,520.3448079427084
6,504.80081612723217,486.9517299107143,520.5006626674107
7,504.8008117675781,486.91131591796875,520.6599731445312
8,504.80083550347223,486.8820529513889,520.712890625
9,504.800830078125,486.713671875,520.58134765625
10,504.80082563920456,486.6602894176136,520.4733220880681
11,504.8008219401042,486.6590169270833,520.4510091145834
12,504.80081881009613,486.68209134615387,520.4244290865385
13,504.80081612723217,486.6707240513393,520.393798828125
14,504.8008138020833,486.6664713541667,520.3511393229167
15,504.8008117675781,486.63427734375,520.3275756835938
16,504.8008386948529,486.64171645220586,520.3257123161765
17,504.80083550347223,486.70176866319446,520.3290473090278
18,504.8008326480263,486.7294921875,520.3305407072369
19,504.800830078125,486.714404296875,520.32314453125
20,504.8008277529762,486.6519252232143,520.302734375
21,504.80082563920456,486.57470703125,520.2893288352273
22,504.8008237092391,486.5099354619565,520.2720788043479
23,504.8008219401042,486.5166422526042,520.297607421875
24,504.8008203125,486.5473828125,520.3225
25,504.80081881009613,486.5398137019231,520.3490084134615
26,504.80081741898147,486.5203631365741,520.3468605324074
27,504.80081612723217,486.4869907924107,520.3354840959821
28,504.80081492456895,486.46652747844826,520.326138200431
29,504.8008138020833,486.50078125,520.305859375
30,504.8008138020833,486.64488932291664,520.3210286458333
31,504.8008138020833,486.7259114583333,520.3210611979167
32,504.8008138020833,486.77337239583335,520.3255208333334
33,504.8008138020833,486.78151041666666,520.3234049479166
34,504.8008138020833,486.7237955729167,520.2335286458333
35,504.8008138020833,486.7015625,520.1603190104166
36,504.8008138020833,486.6912434895833,520.0927408854167
37,504.8008138020833,486.6681315104167,520.0169270833334
38,504.8008138020833,486.66223958333336,519.95947265625
39,504.8008138020833,486.67529296875,519.9534830729167
40,504.8008138020833,486.67858072916664,519.9467122395833
41,504.8008138020833,486.6755859375,519.924609375
42,504.8008138020833,486.6738606770833,519.9044270833333
43,504.8008138020833,486.6772786458333,519.8809244791667
44,504.8008138020833,486.68779296875,519.86796875
45,504.8008138020833,486.68297526041664,519.8494140625
46,504.8008138020833,486.6875325520833,519.81650390625
47,504.8008138020833,486.6961263020833,519.7836263020833
48,504.8008138020833,486.7126953125,519.7531575520833
49,504.8008138020833,486.7721354166667,519.7274739583333
50,504.8008138020833,486.85914713541666,519.7182942708333
51,504.8008138020833,486.91595052083335,519.69384765625
52,504.8008138020833,486.94462890625,519.6808919270833
53,504.8008138020833,486.9606119791667,519.6286783854167
54,504.8008138020833,486.94573567708335,519.5747721354167
55,504.8008138020833,486.95439453125,519.5176432291667
56,504.8008138020833,486.9861328125,519.48427734375
57,504.8008138020833,486.96533203125,519.4476236979167
58,504.8008138020833,486.9169596354167,519.4180013020833
59,504.8008138020833,486.8681640625,519.39873046875
60,504.8008138020833,486.80602213541664,519.39150390625
61,504.8008138020833,486.7631510416667,519.39306640625
62,504.8008138020833,486.73450520833336,519.3944661458333
63,504.8008138020833,486.7514973958333,519.3936848958333
64,504.8008138020833,486.7881184895833,519.4027018229167
65,504.8008138020833,486.80686848958334,519.4158203125
66,504.8008138020833,486.83017578125,519.4285807291667
67,504.8008138020833,486.8444010416667,519.4250651041667
68,504.8008138020833,486.84778645833336,519.4276692708333
69,504.8008138020833,486.82395833333334,519.42568359375
70,504.8008138020833,486.7851236979167,519.4245768229167
71,504.8008138020833,486.7415364583333,519.4095377604167
72,504.8008138020833,486.6998697916667,519.3972005208333
73,504.8008138020833,486.65276692708335,519.3894205729167
74,504.8008138020833,486.614453125,519.3767578125
75,504.8008138020833,486.58147786458335,519.3620442708333
76,504.8008138020833,486.53186848958336,519.35546875
77,504.8008138020833,486.46767578125,519.3550130208333
78,504.8008138020833,486.4121419270833,519.3451171875
79,504.8008138020833,486.35631510416664,519.3459309895833
80,504.8008138020833,486.3059895833333,519.3421223958334
81,504.8008138020833,486.3087565104167,519.3454752604167
82,504.8008138020833,486.32399088541666,519.343359375
83,504.8008138020833,486.31604817708336,519.3743489583334
84,504.8008138020833,486.3158203125,519.4057291666667
85,504.8008138020833,486.30299479166666,519.4311848958333
86,504.8008138020833,486.280078125,519.4357747395833
87,504.8008138020833,486.31910807291666,519.44462890625
88,504.8008138020833,486.41344401041664,519.4549479166667
89,504.8008138020833,486.4609049479167,519.4659505208333
90,504.8008138020833,486.4892252604167,519.4557942708333
91,504.8008138020833,486.50621744791664,519.4357096354166
92,504.8008138020833,486.49580078125,519.4133138020833
93,504.8008138020833,486.5068033854167,519.4136393229167
94,504.8008138020833,486.51123046875,519.4128580729167
95,504.8008138020833,486.4508463541667,519.3891276041667
96,504.8008138020833,486.3950520833333,519.3568684895833
97,504.8008138020833,486.33662109375,519.3369466145833
98,504.8008138020833,486.272265625,519.3211263020834
99,504.8008138020833,486.28473307291665,519.3424153645833
100,504.8008138020833,486.29108072916665,519.3529622395833
101,504.8008138020833,486.29212239583336,519.3638671875
102,504.8008138020833,486.30751953125,519.4115234375
103,504.8008138020833,486.2920247395833,519.46240234375
104,504.8008138020833,486.2555338541667,519.4867513020833
105,504.8008138020833,486.24583333333334,519.5237630208334
106,504.8008138020833,486.23173828125,519.5578125
107,504.8008138020833,486.2314778645833,519.5758463541666
108,504.8008138020833,486.2242838541667,519.6005533854167
109,504.8008138020833,486.18291015625,519.6110677083333
110,504.8008138020833,486.1001302083333,519.6173177083333
111,504.8008138020833,486.00673828125,519.6424479166667
112,504.8008138020833,485.89733072916664,519.6573567708333
113,504.8008138020833,485.79547526041665,519.6555989583334
114,504.8008138020833,485.70185546875,519.62333984375
115,504.8008138020833,485.62122395833336,519.5960611979167
116,504.8008138020833,485.55413411458335,519.5893880208333
117,504.8008138020833,485.48460286458334,519.5947916666667
118,504.8008138020833,485.41028645833336,519.6021484375
119,504.8008138020833,485.33167317708336,519.6083984375
120,504.8008138020833,485.25322265625,519.6190104166667
121,504.8008138020833,485.1606119791667,519.6370768229167
122,504.8008138020833,485.0677083333333,519.6621419270833
123,504.8008138020833,484.89905598958336,519.6746744791667
124,504.8008138020833,484.71979166666665,519.68935546875
125,504.8008138020833,484.61829427083336,519.7158528645833
126,504.8008138020833,484.54384765625,519.749609375
127,504.8008138020833,484.51360677083335,519.79033203125
128,504.8008138020833,484.52288411458335,519.8208658854167
129,504.8008138020833,484.47096354166666,519.81201171875
130,504.8008138020833,484.4455078125,519.8353515625
131,504.8008138020833,484.4270833333333,519.8340169270833
132,504.8008138020833,484.36647135416666,519.78955078125
133,504.8008138020833,484.3515625,519.7521809895833
134,504.8008138020833,484.34645182291666,519.7398111979167
135,504.8008138020833,484.31533203125,519.7212890625
136,504.8008138020833,484.2607096354167,519.7221028645833
137,504.8008138020833,484.1318359375,519.72802734375
138,504.8008138020833,484.0566080729167,519.7065104166667
139,504.8008138020833,484.03551432291664,519.6890299479167
140,504.8008138020833,484.094921875,519.67890625
141,504.8008138020833,484.19195963541665,519.6530924479167
142,504.8008138020833,484.3068033854167,519.63046875
143,504.8008138020833,484.37194010416664,519.6969401041666
144,504.8008138020833,484.41754557291665,519.87578125
145,504.8008138020833,484.49970703125,520.0594075520834
146,504.8008138020833,484.6592122395833,520.2465169270833
147,504.8008138020833,484.8465169270833,520.4328776041667
148,504.8008138020833,485.01526692708336,520.6097005208334
149,504.8008138020833,485.18561197916665,520.8202473958333
150,504.8008138020833,485.3580078125,521.0336263020833
151,504.8008138020833,485.55234375,521.2419270833333
152,504.8008138020833,485.79303385416665,521.4421549479167
153,504.8008138020833,486.0970052083333,521.6163736979166
154,504.8008138020833,486.4326171875,521.7865559895833
155,504.8008138020833,486.7462890625,521.95341796875
156,504.8008138020833,487.0289713541667,522.1238606770834
157,504.8008138020833,487.2934244791667,522.2878580729167
158,504.8008138020833,487.5384765625,522.453125
159,504.8008138020833,487.7447265625,522.6316731770834
160,504.8008138020833,487.63365885416664,522.7910481770833
161,504.8008138020833,487.4342447916667,522.9767903645833
162,504.8008138020833,487.3059895833333,523.1744140625
163,504.8008138020833,487.17327473958335,523.3574869791667
164,504.8008138020833,487.0916341145833,523.5399739583333
165,504.8008138020833,487.1127604166667,523.7198893229166
166,504.8008138020833,487.2223307291667,523.8776041666666
167,504.8008138020833,487.3974283854167,524.2045572916667
168,504.8008138020833,487.54778645833335,524.558203125
169,504.8008138020833,487.6064778645833,524.9130533854167
170,504.8008138020833,487.63356119791666,525.26748046875
171,504.8008138020833,487.63756510416664,525.6211588541667
172,504.8008138020833,487.68994140625,525.9768229166667
173,504.8008138020833,487.73951822916666,526.2389973958333
174,504.8008138020833,487.8219401041667,526.41201171875
175,504.8008138020833,487.763671875,526.5777018229167
176,504.8008138020833,487.65647786458334,526.75068359375
177,504.8008138020833,487.52574869791664,526.9168619791667
178,504.8008138020833,487.4537109375,527.0710611979167
179,504.8008138020833,487.31214192708336,527.19365234375
180,504.8008138020833,487.09521484375,527.3293294270833
181,504.8008138020833,486.8650390625,527.4692708333333
182,504.8008138020833,486.61826171875,527.6111328125
183,504.8008138020833,486.3185221354167,527.773046875
184,504.8008138020833,486.02727864583335,527.9296223958333
185,504.8008138020833,485.73395182291665,528.0889322916667
186,504.8008138020833,485.4967447916667,528.2453450520833
187,504.8008138020833,485.24192708333334,528.4099609375
188,504.8008138020833,485.00804036458334,528.48974609375
189,504.8008138020833,484.8052083333333,528.4882161458333
190,504.8008138020833,484.88662109375,528.4845703125
191,504.8008138020833,485.04026692708334,528.48193359375
192,504.8008138020833,485.1277669270833,528.4740559895833
193,504.8008138020833,485.1908203125,528.4748046875
194,504.8008138020833,485.23203125,528.4793619791667
195,504.8008138020833,485.20341796875,528.47421875
196,504.8008138020833,485.09169921875,528.4694986979167
197,504.8008138020833,484.9623046875,528.2969401041667
198,504.8008138020833,484.79869791666664,528.1087239583334
199,504.8008138020833,484.6546875,527.9227864583333
200,504.8008138020833,484.45403645833335,527.728125
201,504.8008138020833,484.09599609375,527.5365885416667
