,Trasformer,LSTM,Ours
0,504.8008117675781,476.6304931640625,526.3848876953125
1,504.8008117675781,476.74359130859375,526.0694580078125
2,504.8008219401042,476.9931640625,525.9768473307291
3,504.8008117675781,477.19036865234375,525.9204711914062
4,504.800830078125,477.396240234375,525.862646484375
5,504.8008219401042,477.5748697916667,525.8507486979166
6,504.80081612723217,477.6243373325893,525.8266950334821
7,504.8008117675781,477.59332275390625,525.81005859375
8,504.80083550347223,477.65375434027777,525.7776692708334
9,504.800830078125,477.66552734375,525.75908203125
10,504.80082563920456,477.72079190340907,525.7298473011364
11,504.8008219401042,477.7532552083333,525.7129720052084
12,504.80081881009613,477.7899639423077,525.7030498798077
13,504.80081612723217,477.79649135044644,525.6792340959821
14,504.8008138020833,477.8364583333333,525.6587890625
15,504.8008117675781,477.8353271484375,525.6334228515625
16,504.8008386948529,477.84521484375,525.6198874080883
17,504.80083550347223,477.84868706597223,525.6008572048611
18,504.8008326480263,477.84457236842104,525.5827508223684
19,504.800830078125,477.82890625,525.562451171875
20,504.8008277529762,477.82147507440476,525.5450148809524
21,504.80082563920456,477.80819424715907,525.5269886363636
22,504.8008237092391,477.77394701086956,525.5094684103261
23,504.8008219401042,477.7589925130208,525.4928385416666
24,504.8008203125,477.7344140625,525.4793359375
25,504.80081881009613,477.69031700721155,525.4650691105769
26,504.80081741898147,477.67541956018516,525.4506293402778
27,504.80081612723217,477.6525181361607,525.4353724888393
28,504.80081492456895,477.62149784482756,525.4200565732758
29,504.8008138020833,477.5966796875,525.4051432291667
30,504.8008138020833,477.78746744791664,525.5679036458333
31,504.8008138020833,478.03834635416666,525.73349609375
32,504.8008138020833,478.29794921875,525.8939778645833
33,504.8008138020833,478.5058919270833,526.0533854166666
34,504.8008138020833,478.65322265625,526.2160481770833
35,504.8008138020833,478.77099609375,526.3751627604166
36,504.8008138020833,478.909765625,526.5335611979167
37,504.8008138020833,479.068359375,526.69111328125
38,504.8008138020833,479.23072916666666,526.8541666666666
39,504.8008138020833,479.37080078125,527.01494140625
40,504.8008138020833,479.5,527.18056640625
41,504.8008138020833,479.6080729166667,527.3424479166666
42,504.8008138020833,479.70856119791665,527.5033528645833
43,504.8008138020833,479.79501953125,527.6705078125
44,504.8008138020833,479.8593424479167,527.8374348958333
45,504.8008138020833,479.9176432291667,528.0074869791666
46,504.8008138020833,479.95032552083336,528.1717122395834
47,504.8008138020833,479.97789713541664,528.339453125
48,504.8008138020833,480.01764322916665,528.5080078125
49,504.8008138020833,480.07190755208336,528.6780598958334
50,504.8008138020833,480.13951822916664,528.8462239583333
51,504.8008138020833,480.22552083333335,529.0162434895833
52,504.8008138020833,480.3154622395833,529.1874348958333
53,504.8008138020833,480.3970052083333,529.3568033854167
54,504.8008138020833,480.47405598958335,529.5253255208333
55,504.8008138020833,480.55393880208334,529.6957682291667
56,504.8008138020833,480.66009114583335,529.8730794270833
57,504.8008138020833,480.95921223958334,530.05166015625
58,504.8008138020833,481.41774088541666,530.2287109375
59,504.8008138020833,481.93470052083336,530.41748046875
60,504.8008138020833,481.8771484375,530.3356770833333
61,504.8008138020833,481.770703125,530.2465169270833
62,504.8008138020833,481.67926432291665,530.1544596354166
63,504.8008138020833,481.567578125,530.0470377604166
64,504.8008138020833,481.5171223958333,529.9445638020833
65,504.8008138020833,481.49973958333334,529.8302083333333
66,504.8008138020833,481.48271484375,529.7346354166667
67,504.8008138020833,481.4482096354167,529.6389973958334
68,504.8008138020833,481.41168619791665,529.5379557291667
69,504.8008138020833,481.390234375,529.4299153645833
70,504.8008138020833,481.3842447916667,529.3150390625
71,504.8008138020833,481.4150390625,529.2155598958333
72,504.8008138020833,481.46692708333336,529.1240559895833
73,504.8008138020833,481.53736979166666,529.0333658854166
74,504.8008138020833,481.62330729166666,528.9411458333333
75,504.8008138020833,481.72887369791664,528.84521484375
76,504.8008138020833,481.85602213541665,528.7368489583333
77,504.8008138020833,482.00172526041666,528.6297526041667
78,504.8008138020833,482.1557291666667,528.5105143229167
79,504.8008138020833,482.3373046875,528.4210611979166
80,504.8008138020833,482.49931640625,528.3224283854166
81,504.8008138020833,482.64641927083335,528.2142903645833
82,504.8008138020833,482.7869466145833,528.0994791666667
83,504.8008138020833,482.95439453125,527.99091796875
84,504.8008138020833,483.15081380208335,527.885546875
85,504.8008138020833,483.35826822916664,527.7653645833333
86,504.8008138020833,483.51389973958334,527.6351888020833
87,504.8008138020833,483.46923828125,527.5016276041666
88,504.8008138020833,483.303515625,527.4038736979167
89,504.8008138020833,483.08017578125,527.2925130208333
90,504.8008138020833,483.2671875,527.2827799479167
91,504.8008138020833,483.4416015625,527.276953125
92,504.8008138020833,483.56940104166665,527.2612630208333
93,504.8008138020833,483.755078125,527.2563802083333
94,504.8008138020833,483.93092447916666,527.2557291666667
95,504.8008138020833,484.09215494791664,527.2575520833333
96,504.8008138020833,484.24306640625,527.2435546875
97,504.8008138020833,484.39537760416664,527.24580078125
98,504.8008138020833,484.53798828125,527.2442708333333
99,504.8008138020833,484.675390625,527.241796875
100,504.8008138020833,484.80442708333334,527.2391927083333
101,504.8008138020833,484.9124348958333,527.2145833333333
102,504.8008138020833,485.01442057291666,527.2092122395833
103,504.8008138020833,485.11705729166664,527.2116861979167
104,504.8008138020833,485.212890625,527.2081705729166
105,504.8008138020833,485.3066731770833,527.2166341145834
106,504.8008138020833,485.4046223958333,527.24248046875
107,504.8008138020833,485.485546875,527.2644205729167
108,504.8008138020833,485.55810546875,527.2989583333333
109,504.8008138020833,485.59361979166664,527.29853515625
110,504.8008138020833,485.6189453125,527.41591796875
111,504.8008138020833,485.6581705729167,527.5453776041667
112,504.8008138020833,485.73544921875,527.6803385416666
113,504.8008138020833,485.84251302083334,527.8127278645833
114,504.8008138020833,485.96533203125,527.9389973958333
115,504.8008138020833,486.10852864583336,528.05146484375
116,504.8008138020833,486.2861653645833,528.1653971354167
117,504.8008138020833,486.47529296875,528.2802408854167
118,504.8008138020833,486.65319010416664,528.3611979166667
119,504.8008138020833,486.8344401041667,528.4802734375
120,504.8008138020833,487.01002604166666,528.5542643229167
121,504.8008138020833,487.186328125,528.6248372395834
122,504.8008138020833,487.37041015625,528.713671875
123,504.8008138020833,487.5517252604167,528.8109375
124,504.8008138020833,487.73020833333334,528.8892578125
125,504.8008138020833,487.90179036458335,528.9862955729167
126,504.8008138020833,488.0435546875,529.0806966145833
127,504.8008138020833,488.1095377604167,529.1557291666667
128,504.8008138020833,488.1001953125,529.24326171875
129,504.8008138020833,488.1044596354167,529.3394205729167
130,504.8008138020833,488.01923828125,529.4400065104167
131,504.8008138020833,487.9222005208333,529.5764322916667
132,504.8008138020833,487.7955078125,529.6801106770833
133,504.8008138020833,487.66559244791665,529.7787434895833
134,504.8008138020833,487.57373046875,529.8894856770834
135,504.8008138020833,487.51682942708334,529.99072265625
136,504.8008138020833,487.47731119791666,530.0916666666667
137,504.8008138020833,487.4479166666667,530.1930338541666
138,504.8008138020833,487.38050130208336,530.295703125
139,504.8008138020833,487.3068359375,530.39931640625
140,504.8008138020833,487.22620442708336,530.3944986979167
141,504.8008138020833,487.157421875,530.41455078125
142,504.8008138020833,487.0862630208333,530.4359049479167
143,504.8008138020833,486.99241536458334,530.454296875
144,504.8008138020833,486.88043619791665,530.4748372395833
145,504.8008138020833,486.7469075520833,530.5271158854167
146,504.8008138020833,486.59013671875,530.5795572916667
147,504.8008138020833,486.42389322916665,530.63408203125
148,504.8008138020833,486.24482421875,530.6848307291667
149,504.8008138020833,486.05491536458334,530.7043619791667
150,504.8008138020833,485.8637369791667,530.75517578125
151,504.8008138020833,485.67620442708335,530.8081380208333
152,504.8008138020833,485.4926432291667,530.859765625
153,504.8008138020833,485.3251953125,530.9123372395833
154,504.8008138020833,485.1648763020833,530.96484375
155,504.8008138020833,485.01396484375,531.014453125
156,504.8008138020833,484.89453125,531.0591145833333
157,504.8008138020833,484.8689453125,531.1078125
158,504.8008138020833,485.009375,531.1604817708334
159,504.8008138020833,485.12786458333335,531.21396484375
160,504.8008138020833,485.2828776041667,531.2736653645833
161,504.8008138020833,485.4535807291667,531.2974609375
162,504.8008138020833,485.64794921875,531.3190104166666
163,504.8008138020833,485.84020182291664,531.3440104166667
164,504.8008138020833,485.99567057291665,531.36962890625
165,504.8008138020833,486.11656901041664,531.3961588541666
166,504.8008138020833,486.2182291666667,531.4228515625
167,504.8008138020833,486.3060546875,531.4478515625
168,504.8008138020833,486.42652994791666,531.4728515625
169,504.8008138020833,486.5566731770833,531.4968424479167
170,504.8008138020833,486.70078125,531.5267903645833
171,504.8008138020833,486.8170572916667,531.5294596354166
172,504.8008138020833,486.9036458333333,531.5328776041666
173,504.8008138020833,486.9671875,531.5346354166667
174,504.8008138020833,487.01770833333336,531.5375651041667
175,504.8008138020833,487.06080729166666,531.5403645833334
176,504.8008138020833,487.1046549479167,531.5443359375
177,504.8008138020833,487.15032552083335,531.5480143229166
178,504.8008138020833,487.1994140625,531.5521158854167
179,504.8008138020833,487.2519205729167,531.5555338541667
180,504.8008138020833,487.3051432291667,531.5599283854167
181,504.8008138020833,487.3515625,531.5646484375
182,504.8008138020833,487.38935546875,531.5691731770834
183,504.8008138020833,487.41484375,531.5725911458334
184,504.8008138020833,487.43515625,531.5768880208333
185,504.8008138020833,487.45205078125,531.5808268229167
186,504.8008138020833,487.47080078125,531.5852864583334
187,504.8008138020833,487.4717122395833,531.5888997395833
188,504.8008138020833,487.38128255208335,531.5920247395833
189,504.8008138020833,487.3058268229167,531.5962239583333
190,504.8008138020833,487.2806640625,531.59443359375
191,504.8008138020833,487.25250651041665,531.5936197916667
192,504.8008138020833,487.22571614583336,531.5951822916667
193,504.8008138020833,487.19794921875,531.5960286458334
194,504.8008138020833,487.16809895833336,531.59638671875
195,504.8008138020833,487.13645833333334,531.5968098958333
196,504.8008138020833,487.10048828125,531.5954752604167
197,504.8008138020833,487.06396484375,531.5953125
198,504.8008138020833,487.03056640625,531.59541015625
199,504.8008138020833,486.99469401041665,531.59345703125
200,504.8008138020833,486.960546875,531.5919921875
201,504.8008138020833,486.93434244791666,531.5920572916667
202,504.8008138020833,486.91038411458334,531.5911458333334
203,504.8008138020833,486.88408203125,531.5916666666667
204,504.8008138020833,486.84970703125,531.5904622395833
205,504.8008138020833,486.8162109375,531.5894205729167
